word,freq,adj_prob
good,0.003926134437681458,0.9538992117117117
little,0.0033086230527758537,0.9904510022271715
big,0.0022289913489455145,0.9808256539526427
nice,0.0009630193211796089,0.9785748445719751
new,0.0005166499638925324,0.9146015332501337
hot,0.0004778712805623922,0.9946029298380878
hungry,0.00044904057300340443,0.9532307692307692
old,0.0004413032585147304,0.9801711542475475
bad,0.00042389430091521377,0.9893524554541504
great,0.0003679829926458668,0.9799749687108886
different,0.00034790281933002226,0.9859676992321948
same,0.00032662520448616865,0.9977439368302312
happy,0.00031161112994267017,0.9269878805793674
small,0.00026012114423827983,0.9953966005665722
wet,0.0002094601565148188,0.9151275285839929
cute,0.00016819447924189057,0.9090909090909091
beautiful,0.00015198296317038305,0.9775757575757575
tiny,0.00014129810030507126,0.9921773142112125
sick,0.0001385347737019734,0.9873670212765957
soft,0.0001252708060071036,0.9198529411764705
heavy,0.00011661238265073025,0.995260663507109
neat,0.00011430961048148202,0.9766317485898469
poor,0.00011071728589745479,0.9983361064891847
sad,0.00010841451372820656,0.9711129991503823
tall,0.0001082302919546667,0.9948936170212765
loud,0.00010684862865311777,0.9836206896551725
mad,0.00010509852180448912,0.985977212971078
interesting,0.00010169041899400174,0.9963768115942029
strong,9.579532224072628e-05,0.9932692307692308
delicious,8.750534243143265e-05,0.9989473684210526
dead,8.520257026218443e-05,1.0
broke,8.363668518709563e-05,0.9955947136563876
short,7.75573666602803e-05,0.9631828978622328
afraid,6.475395339926017e-05,1.0
glad,5.913518930629449e-05,0.9953271028037384
angry,5.655608447673648e-05,0.99185667752443
young,4.743710668651349e-05,0.9941747572815534
super,4.688444136589392e-05,0.9135559921414538
stupid,4.163412082000796e-05,0.9889380530973452
terrible,3.933134865075973e-05,0.936768149882904
weird,3.92392377639898e-05,0.9295774647887324
fresh,3.730490914182129e-05,0.9753086419753086
regular,3.730490914182129e-05,0.9530864197530864
nuts,3.3988917218103844e-05,0.940379403794038
huge,3.362047367102412e-05,1.0
alive,3.3436251897484266e-05,1.0
dumb,3.334414101071434e-05,0.9751381215469613
strange,3.251514302978498e-05,0.9830028328611898
dangerous,3.19624777091654e-05,0.9971181556195965
excellent,3.1778255935625543e-05,0.9971014492753624
bright,3.168614504885561e-05,0.936046511627907
tough,3.168614504885561e-05,0.9854651162790697
familiar,3.021237086053675e-05,1.0
similar,2.993603820022696e-05,0.9938461538461538
important,2.790959869128852e-05,0.9933993399339934
naughty,2.7264822483899017e-05,1.0
large,2.5791048295580152e-05,0.9964285714285714
ugly,2.560682652204029e-05,1.0
grey,2.3672497899871783e-05,0.9260700389105059
everyday,2.164605839093334e-05,0.9404255319148936
terrific,2.1277614843853625e-05,1.0
teeny,2.0540727749694193e-05,0.9641255605381166
proud,1.869851001429561e-05,0.9359605911330049
less,1.860639912752568e-05,1.0
naked,1.7961622920136178e-05,0.9948717948717949
polar,1.7316846712746674e-05,1.0
nasty,1.7132624939206813e-05,0.9838709677419355
awesome,1.67641813921271e-05,0.9945054945054945
soggy,1.547462897734809e-05,1.0
slippery,1.5382518090578163e-05,0.9640718562874252
wicked,1.5198296317038304e-05,0.9696969696969697
dizzy,1.5106185430268375e-05,0.9573170731707317
wooden,1.4737741883188657e-05,1.0
giddy,1.4277187449339012e-05,0.9612903225806452
horrible,1.3263967694869792e-05,0.9513888888888888
bitsy,1.2895524147790076e-05,0.95
fifth,1.2803413261020146e-05,0.9928057553956835
difficult,1.2711302374250217e-05,1.0
itsy,1.2711302374250217e-05,0.9637681159420289
golden,1.2066526166860713e-05,0.9007633587786259
spare,1.2066526166860713e-05,0.9083969465648855
laze,1.1698082619780997e-05,1.0
magnetic,1.151386084624114e-05,0.992
pajama,1.1237528185931352e-05,0.9918032786885246
expensive,1.1145417299161422e-05,1.0
handsome,1.1053306412391493e-05,1.0
odd,1.1053306412391493e-05,0.9833333333333333
lonely,1.0961195525621565e-05,1.0
fantastic,1.0684862865311777e-05,0.9741379310344828
nervous,1.040853020500199e-05,0.9823008849557522
crooked,1.040853020500199e-05,0.9911504424778761
comfy,9.855864884382414e-06,0.9813084112149533
clever,9.855864884382414e-06,0.9813084112149533
ticklish,9.487421337302698e-06,1.0
ridiculous,8.566312469603407e-06,1.0
cheap,8.566312469603407e-06,0.989247311827957
exciting,8.566312469603407e-06,0.967741935483871
visible,8.566312469603407e-06,0.989247311827957
rotten,8.474201582833478e-06,0.9891304347826086
credible,8.013647148983833e-06,1.0
