word,freq,verb_prob
want,0.00903202511311217,0.9960532756792038
see,0.006547794496927181,0.8836479756914161
know,0.005254097092243526,0.9975806875756035
let,0.003860275153640959,0.9833210050347181
need,0.0014511149101734632,0.948901866192713
find,0.0010439847906503765,0.9632962766896065
help,0.0009267276317922568,0.6050094424013518
wait,0.0008931992690080026,0.6228730535217077
remember,0.0008169314547625013,0.856804600293156
hold,0.0007729024508864752,0.6243594327255393
hear,0.0007320973280473966,0.9550830397584298
love,0.0005982602095706896,0.7143956889915319
push,0.0005577314193919207,0.6308835672997523
thank,0.0005212555082310289,0.9946987100194381
hurt,0.00047354206888420555,0.7175646761330481
pull,0.00044940901655048413,0.8620618979299036
ask,0.00044636935728707645,0.8726784977300867
wash,0.0003531531398759082,0.6160667709963484
draw,0.000346981710462323,0.9511547650650385
hit,0.000307926694471873,0.8019742746036495
touch,0.00030359748279368634,0.7554611650485437
forget,0.0003002814908699689,0.9604294478527607
listen,0.0002657399083312455,0.8273830155979203
feed,0.00021968446494628093,0.7014675052410901
drop,0.00021130237425021737,0.7380122057541413
set,0.00020761793877942022,0.6468500443655724
lose,0.0002056836101572517,0.7236901030004478
climb,0.00019076164650052319,0.7141477547078706
grow,0.0001803531162955212,0.6940755873340143
hang,0.0001790635638807422,0.6887860082304527
carry,0.0001686550336757402,0.7089022392135446
bet,0.00016672070505357168,0.9464088397790055
wake,0.0001591676123384375,0.8402777777777778
excuse,0.0001581543925839683,0.8468258590564939
matter,0.0001569569510559592,0.6455399061032864
tie,0.0001556673986411802,0.6100591715976331
spell,0.00015400940267932148,0.6644736842105263
chew,0.00014498253577586843,0.764294790343075
pour,0.0001430482071536999,0.8699291693496458
learn,0.00014249554183308033,0.7983193277310925
meow,0.00013964010434321252,0.6813984168865436
wipe,0.00013945588256967267,0.690224570673712
spill,0.00013742944306073423,0.8599195710455764
hope,0.00013310023138254757,0.6076124567474048
kick,0.0001262840257615728,0.7979576951130561
smell,0.00012563924955418332,0.6282991202346041
shut,0.00011467805402856174,0.7879518072289157
win,0.0001132963907270128,0.7008130081300813
share,0.00011090150767099465,0.6370431893687708
reach,0.00010878295727528628,0.7383573243014394
understand,0.00010362474761617025,0.9573333333333334
meet,0.00010169041899400174,0.7934782608695652
kill,9.855864884382416e-05,0.7271028037383177
die,9.828231618351437e-05,0.6251171508903468
wish,9.321621741116826e-05,0.758893280632411
believe,9.30319956376284e-05,0.9633663366336633
grab,9.118977790222982e-05,0.8767676767676768
hurry,9.01765581477606e-05,0.6128702757916241
save,8.778167509174244e-05,0.8604407135362014
belong,8.759745331820259e-05,0.9926393270241851
recognize,8.704478799758301e-05,0.926984126984127
press,8.704478799758301e-05,0.6296296296296297
pay,8.640001179019351e-05,0.6151385927505331
follow,8.5755235582804e-05,0.6305048335123523
ding,7.976802794275861e-05,0.6836027713625866
figure,7.829425375443975e-05,0.8176470588235294
hate,7.635992513227124e-05,0.827503015681544
send,7.599148158519152e-05,0.9151515151515152
zip,7.451770739687265e-05,0.6625463535228677
worry,7.2767600548244e-05,0.7189873417721518
tear,6.982005217160626e-05,0.6015831134564644
stir,6.806994532297761e-05,0.8619756427604871
pass,6.668828202142868e-05,0.6892265193370166
rip,6.622772758757903e-05,0.7844228094575799
fill,6.447762073895038e-05,0.6642857142857143
speak,6.281962477709166e-05,0.6788856304985337
lift,6.208273768293222e-05,0.7418397626112759
notice,6.153007236231265e-05,0.7035928143712575
lick,6.0516852607843425e-05,0.7671232876712328
wrap,6.014840906076371e-05,0.6860643185298622
bless,6.005629817399378e-05,0.9355828220858896
zoom,5.922730019306442e-05,0.6594090202177294
begin,5.655608447673648e-05,0.9136807817589576
squeeze,5.5082310288417605e-05,0.6120401337792643
found,5.489808851487775e-05,0.9832214765100671
tweet,5.4529644967798034e-05,0.7550675675675675
decide,5.250320545885959e-05,0.8947368421052632
fold,5.1858429251470086e-05,0.6873889875666075
squish,5.084520949700087e-05,0.730072463768116
spank,4.71607740262037e-05,0.626953125
steal,4.421322564956597e-05,0.7979166666666667
bend,4.4029003876026116e-05,0.6150627615062761
mash,4.356844944217647e-05,0.6152219873150105
erase,4.329211678186668e-05,0.6148936170212767
flip,3.979190308460938e-05,0.8078703703703703
choose,3.942345953752966e-05,0.9345794392523364
sell,3.942345953752966e-05,0.6565420560747663
enjoy,3.9147126877219874e-05,0.7552941176470588
nibble,3.7765463575670935e-05,0.6829268292682927
neigh,3.767335268890101e-05,0.6577017114914425
swallow,3.6660132934431785e-05,0.7537688442211056
gobble,3.610746761381221e-05,0.7780612244897959
chug,3.5554802293192634e-05,0.8756476683937824
add,3.491002608580313e-05,0.8443271767810027
choke,3.380469544456399e-05,0.7956403269754768
poke,3.325203012394441e-05,0.8642659279778393
flap,3.2330921256245115e-05,0.8717948717948718
spend,2.993603820022696e-05,0.9107692307692308
knit,2.901492933252767e-05,0.6349206349206349
melt,2.873859667221788e-05,0.6858974358974359
promise,2.8185931351598306e-05,0.7450980392156863
invite,2.6620046276509513e-05,0.6678200692041523
swish,2.6527935389739584e-05,0.9270833333333334
cost,2.6159491842659866e-05,0.7887323943661971
deliver,2.6067380955889938e-05,0.8162544169611308
wrench,2.588315918235008e-05,0.9466192170818505
remind,2.5514715635270363e-05,0.8953068592057761
